CallCount,Bandwidth
88,71.2
196,70.6
783,71.2
151,70.4
287,70.5
316,72.0
149,71.2
372,71.2
200,70.6
161,71.2
124,71.3
255,70.5
513,70.6
109,71.4
268,71.7
211,70.7
474,72.7
134,70.4
102,70.5
168,71.3
100,70.4
407,70.5
96,70.6
98,72.0
74,71.5
545,71.2
540,70.4
201,70.5
225,71.3
148,70.4
114,71.2
124,70.4
168,70.6
279,70.4
182,70.5
354,70.4
289,70.5
537,70.4
172,70.5
114,70.4
283,71.2
239,71.5
160,70.6
342,70.4
115,71.5
94,72.0
405,70.3
94,70.3
146,71.2
111,71.3
106,70.3
205,71.5
183,70.1
314,71.3
283,72.0
321,70.4
278,70.4
549,70.5
301,70.4
146,71.2
393,71.2
562,70.4
281,70.4
215,70.4
875,71.3
405,72.0
175,71.2
457,70.4
342,70.0
463,71.0
688,72.0
351,70.6
491,70.4
379,71.4
281,71.2
94,70.4
235,71.2
310,70.0
650,71.4
147,70.0
345,71.3
632,70.0
246,70.0
160,71.0
359,71.4
104,70.4
387,70.0
105,70.4
232,71.2
115,70.4
106,70.0
403,71.4
294,71.2
382,70.5
132,71.3
242,70.3
133,70.3
144,70.4
497,71.4
93,70.5
450,70.4
213,71.2
191,72.0
133,70.0
172,72.7
317,70.4
184,71.2
158,72.0
146,70.4
174,71.3
477,70.6
480,70.4
88,72.0
465,71.2
535,71.4
240,70.4
264,71.6
99,72.0
197,70.0
191,72.7
820,70.4
440,70.4
147,70.4
112,70.4
643,70.6
398,70.4
359,71.0
347,71.2
157,70.4
520,71.2
303,70.7
675,71.2
106,70.4
293,70.4
312,70.4
202,71.0
129,70.0
332,71.2
107,70.5
76,70.1
211,70.1
207,70.4
223,71.4
415,71.0
260,71.5
104,71.3
227,71.2
120,70.4
418,71.2
141,70.5
285,70.1
216,72.0
137,70.1
97,71.6
344,71.0
179,70.4
106,70.4
374,71.2
240,71.0
100,71.7
116,71.4
424,71.3
267,70.0
121,70.2
832,70.4
270,70.4
172,72.7
109,70.0
163,72.7
428,70.3
501,70.4
149,70.4
270,71.2
407,70.5
170,70.4
500,72.7
122,70.6
187,72.7
228,70.4
280,72.7
191,70.1
394,72.0
356,70.4
382,71.3
149,70.7
87,70.0
408,72.7
101,70.5
106,70.1
80,70.6
494,71.2
302,70.4
356,70.4
366,71.2
296,71.4
298,70.4
417,70.6
317,71.2
210,70.3
219,72.0
118,70.4
77,72.0
752,70.7
113,71.4
102,70.4
1098,70.4
669,70.6
134,70.3
245,71.0
144,70.4
465,71.3
148,71.2
160,70.4
292,71.2
352,70.4
333,70.0
133,70.5
460,70.3
432,70.4
170,70.4
320,72.0
144,70.2
557,70.6
152,70.6
639,70.4
342,70.4
194,72.7
482,70.4
173,70.5
530,70.6
160,70.4
510,70.7
141,70.6
141,71.2
225,71.4
131,70.4
309,70.4
178,70.4
101,70.4
139,72.0
94,70.5
134,70.6
151,70.4
139,70.4
163,70.4
133,70.4
308,70.6
270,70.4
148,72.0
165,70.7
219,71.4
536,71.2
135,70.4
151,71.3
288,70.5
254,70.6
227,70.4
84,70.5
584,72.0
90,70.7
320,70.3
190,70.5
184,70.4
178,70.7
361,71.2
112,72.7
233,71.3
618,72.0
187,70.5
100,70.4
187,72.7
158,72.0
386,70.3
110,70.4
624,71.3
118,70.0
182,70.4
71,70.6
250,70.5
242,70.6
434,70.4
238,71.2
89,72.0
551,70.4
621,70.4
171,71.2
193,70.1
87,71.3
101,72.0
264,71.2
94,72.7
217,71.2
307,70.2
312,70.6
267,70.4
64,71.7
604,70.4
363,70.6
440,70.0
131,71.0
206,72.7
125,72.0
375,71.0
146,71.3
114,70.0
175,71.3
426,70.4
594,70.4
126,71.0
109,70.0
259,72.7
286,71.0
99,70.0
267,70.4
463,70.3
325,70.2
526,71.4
210,70.7
403,71.2
387,71.3
770,70.5
186,70.0
229,70.4
172,70.7
92,70.1
91,70.5
235,70.0
91,70.5
171,70.4
297,70.3
519,70.5
183,71.4
182,70.4
244,71.0
443,70.5
241,70.3
396,71.2
135,71.2
128,70.4
373,71.2
658,71.2
169,71.3
244,72.7
168,70.0
91,70.0
571,71.2
436,70.4
109,70.2
361,70.3
212,71.0
158,72.7
253,71.3
146,71.0
417,70.6
264,72.0
87,70.3
93,70.6
142,72.7
431,71.0
711,70.4
234,71.2
131,70.6
227,70.6
545,71.3
174,70.4
353,70.4
111,70.0
211,70.4
314,70.4
140,70.4
273,71.2
